date YYYY_MM_DD,Month,Day,Hours,Weekly_Total,PayPeriod_Total,Monthly_Total
2024_02_01,February,Thursday,7,7,7,7
2024_02_02,February,Friday,7,14,14,14
2024_02_03,February,Saturday,0,14,14,14
2024_02_04,February,Sunday,5,5,19,19
2024_02_05,February,Monday,7,12,26,26
2024_02_06,February,Tuesday,7,19,33,33
2024_02_07,February,Wednesday,7,26,40,40
2024_02_08,February,Thursday,7,33,47,47
2024_02_09,February,Friday,7,40,54,54
2024_02_10,February,Saturday,0,40,54,54
2024_02_11,February,Sunday,5,5,59,59
2024_02_12,February,Monday,7,12,66,66
2024_02_13,February,Tuesday,7,19,73,73
2024_02_14,February,Wednesday,7,26,80,80
2024_02_15,February,Thursday,0,26,80,80
,,,,,,
2024_02_16,February,Friday,7,33,7,87
2024_02_17,February,Saturday,0,33,7,87
2024_02_18,February,Sunday,5,5,12,92
2024_02_19,February,Monday,7,12,19,99
2024_02_20,February,Tuesday,7,19,26,106
2024_02_21,February,Wednesday,7,26,33,113
2024_02_22,February,Thursday,7,33,40,120
2024_02_23,February,Friday,7,40,47,127
2024_02_24,February,Saturday,0,40,47,127
2024_02_25,February,Sunday,5,5,52,132
2024_02_26,February,Monday,7,12,59,139
2024_02_27,February,Tuesday,7,19,66,146
2024_02_28,February,Wednesday,7,26,73,153
2024_02_29,February,Thursday,7,33,80,160
,,,,,,
2024_03_01,March,Friday,7,40,7,7
2024_03_02,March,Saturday,0,40,7,7
2024_03_03,March,Sunday,5,5,12,12
2024_03_04,March,Monday,7,12,19,19
2024_03_05,March,Tuesday,7,19,26,26
2024_03_06,March,Wednesday,7,26,33,33
2024_03_07,March,Thursday,7,33,40,40
2024_03_08,March,Friday,7,40,47,47
2024_03_09,March,Saturday,0,40,47,47
2024_03_10,March,Sunday,5,5,52,52
2024_03_11,March,Monday,7,12,59,59
2024_03_12,March,Tuesday,7,19,66,66
2024_03_13,March,Wednesday,7,26,73,73
2024_03_14,March,Thursday,7,33,80,80
2024_03_15,March,Friday,0,33,80,80
,,,,,,
2024_03_16,March,Saturday,0,33,0,80
2024_03_17,March,Sunday,5,5,5,85
2024_03_18,March,Monday,7,12,12,92
2024_03_19,March,Tuesday,7,19,19,99
2024_03_20,March,Wednesday,7,26,26,106
2024_03_21,March,Thursday,7,33,33,113
2024_03_22,March,Friday,7,40,40,120
2024_03_23,March,Saturday,0,40,40,120
2024_03_24,March,Sunday,5,5,45,125
2024_03_25,March,Monday,7,12,52,132
2024_03_26,March,Tuesday,7,19,59,139
2024_03_27,March,Wednesday,7,26,66,146
2024_03_28,March,Thursday,7,33,73,153
2024_03_29,March,Friday,7,40,80,160
2024_03_30,March,Saturday,0,40,80,160
2024_03_31,March,Sunday,0,0,80,160
,,,,,,
2024_04_01,April,Monday,7,7,7,7
2024_04_02,April,Tuesday,7,14,14,14
2024_04_03,April,Wednesday,7,21,21,21
2024_04_04,April,Thursday,7,28,28,28
2024_04_05,April,Friday,7,35,35,35
2024_04_06,April,Saturday,0,35,35,35
2024_04_07,April,Sunday,5,5,40,40
2024_04_08,April,Monday,7,12,47,47
2024_04_09,April,Tuesday,7,19,54,54
2024_04_10,April,Wednesday,7,26,61,61
2024_04_11,April,Thursday,7,33,68,68
2024_04_12,April,Friday,7,40,75,75
2024_04_13,April,Saturday,0,40,75,75
2024_04_14,April,Sunday,5,5,80,80
2024_04_15,April,Monday,0,5,80,80
,,,,,,
2024_04_16,April,Tuesday,7,12,7,87
2024_04_17,April,Wednesday,7,19,14,94
2024_04_18,April,Thursday,7,26,21,101
2024_04_19,April,Friday,7,33,28,108
2024_04_20,April,Saturday,0,33,28,108
2024_04_21,April,Sunday,5,5,33,113
2024_04_22,April,Monday,7,12,40,120
2024_04_23,April,Tuesday,7,19,47,127
2024_04_24,April,Wednesday,7,26,54,134
2024_04_25,April,Thursday,7,33,61,141
2024_04_26,April,Friday,7,40,68,148
2024_04_27,April,Saturday,0,40,68,148
2024_04_28,April,Sunday,5,5,73,153
2024_04_29,April,Monday,7,12,80,160
2024_04_30,April,Tuesday,0,12,80,160
,,,,,,
2024_05_01,May,Wednesday,7,19,7,7
